id	gene_short_name	locus	normal_FPKM	sorafenib-resistant_FPKM
XLOC_000061	ESPN	chr1:6424787-6520061	68.1057	24.936
XLOC_000062	TAS1R1	chr1:6555277-6579757	0.0144823	0.014598
XLOC_000063	ZBTB48	chr1:6579990-6589334	8.84961	5.84447
XLOC_000064	PHF13	chr1:6613695-6624033	8.14254	6.45974
XLOC_000065	THAP3	chr1:6624864-6701906	9.63872	7.04588
XLOC_000066	LOC100505887	chr1:6724744-6730012	0	0
XLOC_000067	CAMTA1	chr1:6785323-7769706	70.8129	47.4194
XLOC_000068	VAMP3	chr1:7771268-7781432	46.1474	31.9381
XLOC_000069	PER3	chr1:7784263-7845182	7.33539	2.85497
XLOC_000070	PARK7	chr1:7961653-7985282	357.319	309.266
XLOC_000071	LOC102724539	chr1:8208671-8215208	0	0
XLOC_000072	SLC45A1	chr1:8318084-8344167	0.96383	0.534207
XLOC_000073	LOC102724552	chr1:8352401-8817640	0.0585476	0.0695334
XLOC_000074	ENO1-AS1	chr1:8860999-8879884	0.778158	0.291751
XLOC_000075	CA6	chr1:8945833-8975089	0	0
XLOC_000076	-	chr1:9100302-9192237	0.914589	0.673574
XLOC_000077	H6PD	chr1:9234803-9271339	21.5032	17.8471
XLOC_000078	SPSB1	chr1:9292881-9369531	3.13443	19.2765
XLOC_000079	SLC25A33	chr1:9539468-9582773	16.771	35.5279
XLOC_000080	TMEM201	chr1:9588834-9614904	3.77512	4.89748
XLOC_000081	PIK3CD	chr1:9651731-9824526	0.63898	1.45557
XLOC_000082	NMNAT1	chr1:9926293-9985567	2.4634	3.59548
XLOC_000083	MIR5697	chr1:9926293-9985567	0	0
XLOC_000084	RBP7	chr1:9997196-10016020	9.31523	15.0174
XLOC_000085	UBE4B	chr1:10032982-10181241	7.25566	6.31697
XLOC_000086	KIF1B	chr1:10210557-10381864	8.84896	6.41215
XLOC_000087	MIR1273D	chr1:10210557-10381864	0	0
XLOC_000088	RNU6-8	chr1:10210557-10381864	0.655005	1.21542
XLOC_000089	PGD	chr1:10398991-10420511	49.3174	198.974
XLOC_000090	"APITD1,APITD1-CORT,CORT"	chr1:10430101-10452003	9.74053	6.92978
XLOC_000091	PEX14	chr1:10474945-10630761	14.5429	13.9567
XLOC_000092	TARDBP	chr1:11012456-11047249	28.8479	27.6367
XLOC_000093	MTOR-AS1	chr1:11106530-11262551	0	0
XLOC_000094	ANGPTL7	chr1:11106530-11262551	0	0
XLOC_000095	UBIAD1	chr1:11273197-11288434	7.45029	7.17904
XLOC_000096	-	chr1:11293158-11295918	0.17433	0.42051
XLOC_000097	PTCHD2	chr1:11479237-11537583	0	0.0484863
XLOC_000098	LOC101929181	chr1:11609530-11613354	0	0
XLOC_000099	FBXO44	chr1:11648360-11663327	10.5483	8.1149
XLOC_000100	FBXO6	chr1:11664092-11674352	19.3121	15.2887
XLOC_000101	DRAXIN	chr1:11691723-11720279	0.0170289	0.017161
XLOC_000102	AGTRAP	chr1:11736084-11750771	36.624	66.8486
XLOC_000103	C1orf167	chr1:11762192-11847783	0.00513104	0.00369202
XLOC_000104	"CLCN6,NPPA-AS1"	chr1:11762192-11847783	3.12277	2.82458
XLOC_000105	RNU5E-1	chr1:11908153-11908272	0	0
XLOC_000106	PLOD1	chr1:11934666-11975542	53.9313	88.832
XLOC_000107	MFN2	chr1:11980180-12013515	23.8414	23.2349
XLOC_000108	MIIP	chr1:12014429-12032049	19.1554	13.7037
XLOC_000109	MIR6729	chr1:12014429-12032049	0	0
XLOC_000110	TNFRSF8	chr1:12063376-12144207	0.0571557	0.0522078
XLOC_000111	"MIR7846,TNFRSF1B"	chr1:12166942-12209227	6.20614	11.6683
XLOC_000112	MIR4632	chr1:12166942-12209227	0	0
XLOC_000113	VPS13D	chr1:12230038-12512048	1.58478	1.85688
XLOC_000114	SNORA59B	chr1:12230038-12512048	0	0
XLOC_000115	AADACL4	chr1:12644546-12667086	0	0
XLOC_000116	AADACL3	chr1:12716114-12728759	0	0
XLOC_000117	C1orf158	chr1:12746185-12761169	0	0
XLOC_000118	PRAMEF12	chr1:12774847-12777905	0	0
XLOC_000119	PRAMEF1	chr1:12791396-12796628	0	0
XLOC_000120	PRAMEF2	chr1:12857085-12861909	0	0.0182692
XLOC_000121	PRAMEF7	chr1:12916646-12920480	0	0.106439
XLOC_000122	HNRNPCL3	chr1:13061231-13062237	0	0
XLOC_000123	PRAMEF25	chr1:13073677-13078038	0	0
XLOC_000124	LOC645354	chr1:13127068-13132274	0	0
XLOC_000125	LOC101929983	chr1:13175280-13179132	0	0
XLOC_000126	PRAMEF5	chr1:13254197-13263435	0	0
XLOC_000127	LOC645382	chr1:13303538-13309628	0.0314944	0.314888
XLOC_000128	PRAMEF15	chr1:13315580-13322595	0	0.011455
XLOC_000129	PRAMEF16	chr1:13389627-13392631	0	0
XLOC_000130	PRAMEF20	chr1:13410449-13421328	0	0
XLOC_000131	PDPN	chr1:13583756-13617957	0.0067164	0.173018
XLOC_000132	PRDM2	chr1:13700239-13825079	3.86198	2.05909
XLOC_000133	KAZN	chr1:14598716-15152464	2.07742	0.217484
XLOC_000134	TMEM51	chr1:15152531-15220478	11.533	5.12692
XLOC_000135	FHAD1	chr1:15247271-15398126	0.0581103	0.0188904
XLOC_000136	EFHD2	chr1:15409894-15430343	56.6605	37.4386
XLOC_000137	CTRC	chr1:15438441-15446658	0	0
XLOC_000138	CELA2A	chr1:15456727-15472091	0	0
XLOC_000139	CELA2B	chr1:15476100-15524790	0	0
XLOC_000140	DNAJC16	chr1:15526812-15585110	5.61895	7.10192
XLOC_000141	"DDI2,RSC1A1"	chr1:15617412-15669046	8.99333	11.0573
XLOC_000142	PLEKHM2	chr1:15684331-15734769	10.4905	15.454
XLOC_000143	SLC25A34	chr1:15736313-15741392	1.07544	0.738147
XLOC_000144	TMEM82	chr1:15742491-15747940	1.20482	11.2233
XLOC_000145	FBLIM1	chr1:15756626-15786589	4.51786	12.3859
XLOC_000146	SPEN	chr1:15834214-15940458	2.58468	5.42442
XLOC_000147	MIR5096	chr1:15834214-15940458	0	0
XLOC_000148	C1orf64	chr1:16004235-16006695	4.6357	0.269084
XLOC_000149	CLCNKA	chr1:16021990-16034050	0.0424595	0.0260594
XLOC_000150	CLCNKB	chr1:16043735-16057326	0.0292874	0.00855851
XLOC_000151	SZRD1	chr1:16367029-16398148	27.7871	47.094
XLOC_000152	NECAP2	chr1:16440671-16492701	27.8284	29.1836
XLOC_000153	FAM231B	chr1:16538723-16540035	0	0.0377478
XLOC_000154	MIR3675	chr1:16548913-16548987	0	0
XLOC_000155	MST1P2	chr1:16645572-16650420	34.0057	20.144
XLOC_000156	FAM231C	chr1:16673002-16673657	0	0
XLOC_000157	MIR3675	chr1:16680861-16720157	0	0
XLOC_000158	RNU1-3	chr1:16740515-16740679	0	0
XLOC_000159	-	chr1:16765315-16768787	0.293841	0.17129
XLOC_000160	-	chr1:16872679-16873852	0.310263	0.219587
XLOC_000161	RNU1-3	chr1:16895979-16896143	0	0
XLOC_000162	CROCC	chr1:16921949-16972979	6.66108	4.57323
XLOC_000163	PADI1	chr1:17205125-17246006	6.63194	0.0847874
XLOC_000164	PADI3	chr1:17249097-17284232	0.0926232	0.0143326
XLOC_000165	MIR3972	chr1:17249097-17284232	0	0
XLOC_000166	PADI4	chr1:17308194-17364000	0.011446	0.0311819
XLOC_000167	PADI6	chr1:17372195-17401699	0	0
XLOC_000168	ARHGEF10L	chr1:17517046-17697875	26.3868	16.7963
XLOC_000169	ACTL8	chr1:17755312-17827063	1.35624	44.6681
XLOC_000170	LOC101927876	chr1:18065656-18074411	0	0
XLOC_000171	IGSF21	chr1:18107745-18378483	0.435905	1.06788
XLOC_000172	KLHDC7A	chr1:18480929-18485986	0.759115	1.73734
XLOC_000173	PAX7	chr1:18631005-18748866	0	0
XLOC_000174	MRTO4	chr1:19213931-19274074	25.8729	21.3215
XLOC_000175	PQLC2	chr1:19312245-19334535	13.7441	15.3433
XLOC_000176	"MINOS1,MINOS1-NBL1,NBL1"	chr1:19596976-19658456	111.683	82.7783
XLOC_000177	RPS14P3	chr1:19596976-19658456	1.67425	0.580862
XLOC_000178	HTR6	chr1:19665286-19680966	0	0.016337
XLOC_000179	OTUD3	chr1:19882394-19912946	1.61383	0.554673
XLOC_000180	PLA2G5	chr1:20028431-20091901	0.355846	0.622459
XLOC_000181	PLA2G2F	chr1:20139329-20150386	27.4853	0.0134896
XLOC_000182	UBXN10	chr1:20183015-20196048	5.80918	1.8382
XLOC_000183	VWA5B1	chr1:20290918-20354894	0.440298	0.0314893
XLOC_000184	FAM43B	chr1:20552438-20555020	0	0.0736823
XLOC_000185	CDA	chr1:20588950-20618907	71.3994	28.2325
XLOC_000186	"MIR6084,PINK1"	chr1:20633454-20661659	18.466	11.9634
XLOC_000187	LOC100506801	chr1:21217246-21345541	0	0.0183251
XLOC_000188	NBPF3	chr1:21439821-21484900	1.88918	1.19222
XLOC_000189	ALPL	chr1:21509364-21578412	0.734322	13.9763
XLOC_000190	LDLRAD2	chr1:21812264-21937297	0.0347861	0.00440067
XLOC_000191	CELA3B	chr1:21976924-21989354	0.20588	0
XLOC_000192	CELA3A	chr1:22001655-22012542	3.62727	0.0864192
XLOC_000193	LINC00339	chr1:22023993-22031224	11.1225	8.54487
XLOC_000194	CDC42	chr1:22052626-22092951	95.3674	107.534
XLOC_000195	MIR4418	chr1:22266238-22266300	0	0
XLOC_000196	ZBTB40	chr1:22451743-22531157	2.19554	2.45611
XLOC_000197	EPHA8	chr1:22563510-22603594	0.00606308	0.0794973
XLOC_000198	"C1QA,C1QC"	chr1:22636491-22648110	52.0255	482.755
XLOC_000199	C1QB	chr1:22653188-22661536	21.9053	225.458
XLOC_000200	EPHB2	chr1:22710837-22921500	2.88064	0.927287
XLOC_000201	MIR4684	chr1:22710837-22921500	0	0
XLOC_000202	KDM1A	chr1:23019428-23083692	15.1388	13.3391
XLOC_000203	MIR3115	chr1:23019428-23083692	0	0
XLOC_000204	ZNF436-AS1	chr1:23359299-23371837	0.44543	0.296059
XLOC_000205	LOC101928163	chr1:23506427-23531220	0	0
XLOC_000206	MDS2	chr1:23627333-23640566	0	0
XLOC_000207	RPL11	chr1:23691778-23696426	1894.43	1285.93
XLOC_000208	TCEB3	chr1:23743365-23778297	7.15462	8.26844
XLOC_000209	PITHD1	chr1:23778383-23788234	35.1974	17.8206
XLOC_000210	LYPLA2	chr1:23791155-23800804	102.489	73.5719
XLOC_000211	MIR378F	chr1:23929069-23929147	0	0
XLOC_000212	PNRC2	chr1:23959810-23963459	27.3215	24.4428
XLOC_000213	LOC284632	chr1:24200239-24211690	0.0143488	0
XLOC_000214	GRHL3	chr1:24319321-24415097	0.738217	0.0971488
XLOC_000215	NIPAL3	chr1:24415754-24474979	6.07767	3.67781
XLOC_000216	RCAN3	chr1:24496332-24556024	4.43418	2.73993
XLOC_000217	NCMAP	chr1:24556075-24609327	3.00459	2.07655
XLOC_000218	SRRM1	chr1:24643102-24673284	18.9716	17.0761
XLOC_000219	CLIC4	chr1:24745268-24844324	12.7936	25.2235
XLOC_000220	MIR4425	chr1:25023502-25023586	0	0
XLOC_000221	RHD	chr1:25272485-25338225	0.138744	0.132244
XLOC_000222	TMEM50A	chr1:25338297-25420872	34.0735	38.4521
XLOC_000223	TMEM57	chr1:25430857-25500212	14.9066	8.40091
XLOC_000224	LDLRAP1	chr1:25543584-25568886	10.4607	7.80486
XLOC_000225	MAN1C1	chr1:25617467-25786297	0.766321	1.94897
XLOC_000226	SEPN1	chr1:25800175-25818222	11.8028	14.0394
XLOC_000227	MTFR1L	chr1:25819905-25859458	15.0645	13.9539
XLOC_000228	EXTL1	chr1:26021779-26036463	0.0077143	0.0133122
XLOC_000229	PDIK1L	chr1:26111164-26125548	3.42406	2.79014
XLOC_000230	FAM110D	chr1:26159019-26162628	0.561964	0.958065
XLOC_000231	ZNF593	chr1:26169896-26170873	100.681	92.0484
XLOC_000232	CNKSR1	chr1:26177489-26189884	4.92147	1.31308
XLOC_000233	CATSPER4	chr1:26190627-26202542	0	0
XLOC_000234	LOC101928303	chr1:26225319-26229845	3.46835	3.06942
XLOC_000235	"CEP85,SH3BGRL3"	chr1:26234152-26281589	272.928	171.135
XLOC_000236	CD52	chr1:26282281-26320523	12.7736	53.7024
XLOC_000237	LIN28A	chr1:26410777-26429728	0	0.0183684
XLOC_000238	"DHDDS,HMGN2"	chr1:26432281-26476642	126.962	190.458
XLOC_000239	RPS6KA1	chr1:26529757-26575030	12.1874	12.07
XLOC_000240	MIR1976	chr1:26529757-26575030	0	0
XLOC_000241	ARID1A	chr1:26691956-26782110	10.3246	6.66002
XLOC_000242	PIGV	chr1:26787592-26798536	11.1344	7.72177
XLOC_000243	ZDHHC18	chr1:26826709-26855720	10.9467	13.5941
XLOC_000244	SFN	chr1:26863141-26864456	142.98	79.6242
XLOC_000245	NUDC	chr1:26921721-26946871	69.7676	80.9367
XLOC_000246	TRNP1	chr1:26993590-27001181	9.89812	31.6322
XLOC_000247	WDTC1	chr1:27234515-27308633	9.99046	9.80609
XLOC_000248	TMEM222	chr1:27322144-27336400	26.9054	23.7218
XLOC_000249	ACTG1P20	chr1:27322144-27336400	0.0465528	0.024896
XLOC_000250	SYTL1	chr1:27341991-27353936	15.4372	2.53646
XLOC_000251	GPR3	chr1:27392643-27395813	0.29534	0.210018
XLOC_000252	FAM76A	chr1:27725978-27762912	3.55378	1.56541
XLOC_000253	STX12	chr1:27773182-27824452	10.0331	12.1302
XLOC_000254	PPP1R8	chr1:27830740-27851672	16.0416	12.0401
XLOC_000255	SCARNA1	chr1:27830740-27851672	0	0
XLOC_000256	THEMIS2	chr1:27872498-27886685	6.32619	8.39268
XLOC_000257	SMPDL3B	chr1:27934954-27959157	6.91573	1.44923
XLOC_000258	XKR8	chr1:27959461-27968098	11.6083	6.91068
XLOC_000259	ATPIF1	chr1:28236090-28238105	408.075	269.417
XLOC_000260	SESN2	chr1:28259451-28282491	6.0722	8.49644
XLOC_000261	MED18	chr1:28329001-28335967	10.5468	9.08365
XLOC_000262	PHACTR4	chr1:28369581-28500370	6.38433	5.90456
XLOC_000263	"RCC1,SNHG3"	chr1:28505942-28539196	22.0204	28.4436
XLOC_000264	SNORA73A	chr1:28505942-28539196	0	3.87235
XLOC_000265	SNORA73B	chr1:28505942-28539196	0	0
XLOC_000266	TRNAU1AP	chr1:28552932-28581862	8.0647	8.15512
XLOC_000267	RAB42	chr1:28592199-28596340	0.617978	1.5611
XLOC_000268	-	chr1:28643189-28648427	0.51189	0.881278
XLOC_000269	RNU11	chr1:28648599-28648734	0	0
XLOC_000270	GMEB1	chr1:28668727-28719326	1.46619	2.05348
XLOC_000271	YTHDF2	chr1:28736220-28769849	27.6487	30.6905
XLOC_000272	OPRD1	chr1:28812141-28863696	0.202514	0
XLOC_000273	EPB41	chr1:28886925-29123909	7.6447	8.24662
XLOC_000274	PTPRU	chr1:29236515-29326813	4.62663	1.19249
XLOC_000275	MATN1-AS1	chr1:30711276-30726746	0.688102	1.19221
XLOC_000276	ZCCHC17	chr1:31296981-31364953	22.8115	24.5576
XLOC_000277	SERINC2	chr1:31409564-31435300	133.916	94.1443
XLOC_000278	LINC01225	chr1:31500084-31508566	0.119584	0.0137838
XLOC_000279	LINC01226	chr1:31518434-31524245	0.381273	0.0202213
XLOC_000280	TINAGL1	chr1:31552449-31587692	46.697	20.6691
XLOC_000281	HCRTR1	chr1:31617699-31627318	0	0.0103343
XLOC_000282	KHDRBS1	chr1:32013635-32060859	30.702	41.5809
XLOC_000283	TMEM39B	chr1:32072901-32102866	7.41889	5.85698
XLOC_000284	MIR5585	chr1:32072901-32102866	0	0
XLOC_000285	KPNA6	chr1:32104426-32176725	8.77497	7.17496
XLOC_000286	TXLNA	chr1:32179688-32198333	13.9093	13.7092
XLOC_000287	"CCDC28B,IQCC"	chr1:32200385-32208687	14.667	7.06764
XLOC_000288	DCDC2B	chr1:32209093-32222325	0.0207957	0
XLOC_000289	EIF3I	chr1:32222369-32231604	97.3838	120.048
XLOC_000290	FAM167B	chr1:32242692-32248860	2.88152	7.13716
XLOC_000291	LCK	chr1:32251238-32286168	42.1607	4.0004
XLOC_000292	HDAC1	chr1:32292106-32333623	36.0361	37.9892
XLOC_000293	TSSK3	chr1:32362260-32364323	0.894048	0.458934
XLOC_000294	ZBTB8B	chr1:32465056-32487858	0	0
XLOC_000295	ZBTB8A	chr1:32539144-32605950	0.85814	0.88078
XLOC_000296	RBBP4	chr1:32651147-32702760	6.26967	6.07254
XLOC_000297	KIAA1522	chr1:32741910-32774970	31.764	24.1392
XLOC_000298	S100PBP	chr1:32775238-32858879	2.71265	2.34632
XLOC_000299	HPCA	chr1:32886496-32901352	0.0880565	0.104164
XLOC_000300	AZIN2	chr1:33081112-33120531	1.84486	0.755307
XLOC_000301	ZNF362	chr1:33256525-33300720	8.38812	5.51039
XLOC_000302	LOC101929464	chr1:33323622-33431055	0	0
XLOC_000303	ZSCAN20	chr1:33472630-33496395	0.287836	0.109398
XLOC_000304	HMGB4	chr1:33513998-34165842	0	0
XLOC_000305	CSMD2-AS1	chr1:33513998-34165842	0	0
XLOC_000306	C1orf94	chr1:34166882-34219130	0	0
XLOC_000307	GJB5	chr1:34755046-34758512	9.91828	0.234
XLOC_000308	GJB4	chr1:34759740-34763724	8.0807	0.112072
XLOC_000309	GJB3	chr1:34781188-34786366	20.583	1.20797
XLOC_000310	GJA4	chr1:34792997-34795747	3.34929	4.83962
XLOC_000311	ZMYM1	chr1:35059785-35119012	1.73096	2.23542
XLOC_000312	ZMYM4	chr1:35268751-35422044	4.50404	4.48683
XLOC_000313	NCDN	chr1:35557791-35566779	5.78058	7.8992
XLOC_000314	TFAP2E	chr1:35573369-35595448	3.8856	1.03208
XLOC_000315	AGO4	chr1:35808226-35857889	2.71439	2.14798
XLOC_000316	"AGO1,AGO3"	chr1:35883208-36056549	3.654	3.65551
XLOC_000317	TEKT2	chr1:36084074-36088275	0.244907	0.0323048
XLOC_000318	ADPRHL2	chr1:36088851-36093932	18.3705	19.376
XLOC_000319	MAP7D1	chr1:36136568-36180850	19.5692	17.5488
XLOC_000320	THRAP3	chr1:36224415-36305359	22.2428	20.766
XLOC_000321	SH3D21	chr1:36306343-36329466	3.61732	1.17027
XLOC_000322	MIR4255	chr1:37161562-37161634	0	0
XLOC_000323	ZC3H12A	chr1:37474517-37484377	24.3534	6.22221
XLOC_000324	MIR6732	chr1:37474517-37484377	0	0
XLOC_000325	DNALI1	chr1:37556918-37595985	7.11564	4.15281
XLOC_000326	CDCA8	chr1:37692400-37709719	4.46589	7.98889
XLOC_000327	MANEAL	chr1:37793833-37809454	3.93926	25.7135
XLOC_000328	C1orf122	chr1:37793833-37809454	66.1165	61.0095
XLOC_000329	UTP11L	chr1:38012711-38024825	10.9428	22.3426
XLOC_000330	MIR3659	chr1:38089230-38089329	0	0
XLOC_000331	GJA9-MYCBP	chr1:38838196-38882618	7.56421	1.60972
XLOC_000332	AKIRIN1	chr1:38991243-39006065	18.5301	31.1819
XLOC_000333	NDUFS5	chr1:39026294-39034636	662.302	645.575
XLOC_000334	"KIAA0754,MACF1"	chr1:39084166-39487262	21.0485	19.6984
XLOC_000335	BMP8A	chr1:39491645-39559698	0.156783	0.135107
XLOC_000336	LOC101929516	chr1:39560810-39576879	0	0
XLOC_000337	PPIE	chr1:39738844-39788861	21.3944	27.5685
XLOC_000338	MFSD2A	chr1:39955111-39969968	7.2494	3.07742
XLOC_000339	CAP1	chr1:40040582-40072649	108.757	104.55
XLOC_000340	RLF	chr1:40161368-40240921	2.19502	3.26872
XLOC_000341	TMCO2	chr1:40247900-40251693	0	0
XLOC_000342	ZMPSTE24	chr1:40258049-40294184	26.1087	27.4552
XLOC_000343	SMAP2	chr1:40373705-40423326	24.493	38.1184
XLOC_000344	ZFP69B	chr1:40450085-40466995	0.702662	1.54916
XLOC_000345	ZFP69	chr1:40477082-40496675	1.6408	1.73712
XLOC_000346	EXO5	chr1:40508757-40518833	1.96266	3.88115
XLOC_000347	ZNF684	chr1:40531560-40548169	1.39473	3.0504
XLOC_000348	NFYC	chr1:40689079-40771606	16.3349	25.5282
XLOC_000349	MIR30E	chr1:40689079-40771606	0	0
XLOC_000350	MIR30C1	chr1:40689079-40771606	0	0
XLOC_000351	KCNQ4	chr1:40784011-40840452	1.44366	0.478273
XLOC_000352	CTPS1	chr1:40979298-41012565	12.1921	13.6473
XLOC_000353	SLFNL1-AS1	chr1:41014589-41242159	0.0675872	0.0685827
XLOC_000354	SCMH1	chr1:41014589-41242159	0.0971199	0.291462
XLOC_000355	FOXO6	chr1:41361930-41383591	0.790134	0.259353
XLOC_000356	GUCA2B	chr1:42153420-42155824	7.15065	9.38962
XLOC_000357	RIMKLA	chr1:42380796-42424229	0.0922441	0.387566
XLOC_000358	PPCS	chr1:42456340-42473378	34.4937	34.4267
XLOC_000359	CCDC30	chr1:42534888-42654664	0.103639	0.0958727
XLOC_000360	PPIH	chr1:42658376-42676758	35.7923	25.5676
XLOC_000361	YBX1	chr1:42678825-42702365	289.164	574.73
XLOC_000362	"C1orf50,LOC100129924"	chr1:42767137-42798230	8.86594	11.2961
XLOC_000363	ERMAP	chr1:42807051-42844989	5.38392	5.99943
XLOC_000364	ZNF691	chr1:42846572-42852637	5.36608	7.97892
XLOC_000365	LOC339539	chr1:42857621-42888792	0	0.0272421
XLOC_000366	SLC2A1-AS1	chr1:42925374-42983358	1.08623	0.288115
XLOC_000367	FAM183A	chr1:43144924-43156396	0.294342	2.19085
XLOC_000368	CFAP57	chr1:43164173-43259245	0.540847	0.648836
XLOC_000369	TMEM125	chr1:43269993-43274004	12.792	0.378048
XLOC_000370	TIE1	chr1:43281885-43354464	1.61519	3.0832
XLOC_000371	MPL	chr1:43281885-43354464	0.345091	0.311009
XLOC_000372	CDC20	chr1:43358954-43363202	13.1164	27.3559
XLOC_000373	SZT2	chr1:43389884-43454247	3.49342	3.52325
XLOC_000374	MIR6735	chr1:43389884-43454247	0	0
XLOC_000375	PTPRF	chr1:43530875-43623672	50.0629	42.318
XLOC_000376	KDM4A	chr1:43650125-43707341	9.48091	11.9193
XLOC_000377	ST3GAL3	chr1:43707532-43931165	5.41386	7.93207
XLOC_000378	MIR6079	chr1:43707532-43931165	0	0
XLOC_000379	ARTN	chr1:43933319-43937240	0.385871	0.227578
XLOC_000380	IPO13	chr1:43946805-43968022	8.92331	11.4399
XLOC_000381	DPH2	chr1:43969980-43973371	11.5546	19.1064
XLOC_000382	ATP6V0B	chr1:43974647-43978300	233.405	188.774
XLOC_000383	B4GALT2	chr1:43979201-43991171	45.8475	29.5952
XLOC_000384	CCDC24	chr1:43991607-44031492	8.39691	5.10984
XLOC_000385	KLF17	chr1:44118849-44135137	0.00655418	0.00754741
XLOC_000386	DMAP1	chr1:44213452-44220679	19.7558	24.1182
XLOC_000387	RNF220	chr1:44405287-44651754	30.0035	35.2451
XLOC_000388	MIR5584	chr1:44405287-44651754	0	0
XLOC_000389	C1orf228	chr1:44674721-44725591	0.659004	1.26015
XLOC_000390	KIF2C	chr1:44739817-44767766	4.62358	6.88635
XLOC_000391	"RPS8,SNORD55"	chr1:44775247-44794188	1768.79	2618.84
XLOC_000392	SNORD46	chr1:44775247-44794188	0	0
XLOC_000393	SNORD38A	chr1:44775247-44794188	0	0
XLOC_000394	SNORD38B	chr1:44775247-44794188	0	0
XLOC_000395	PLK3	chr1:44800312-44807380	4.51242	2.65083
